# Generated by scripts/wdl-resources.py from workflows/ugc_wgw_*.wdl; do not edit.
# Regenerate: python3 scripts/wdl-resources.py --write (tests/check.sh fails on drift).
# Declared cpu and memory of every task the entrypoints can call. Copy rows into the site
# policy (<prefix>/resources.tsv) and edit the values; '-' in a cell means 'as declared'.
# stages, source and notes are informational and ignored by the policy.
task	cpu	memory	time	partition	constraint	stages	source	notes
bcftools_stats_roh_small_variants	2	4G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/bcftools.wdl:5	cpu from input default; memory from input default; command uses threads
consolidate_stats	2	4G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/utilities.wdl:71	cpu from input default; memory from input default
create_pbmm2_index	8	32G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/pbmm2/pbmm2.wdl:88	cpu from input default; memory from input default; command uses threads
deepvariant_call_variants_cpu	64	28G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/deepvariant/deepvariant.wdl:330	cpu from workflow input default; memory from input default
deepvariant_call_variants_gpu	8	44G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/deepvariant/deepvariant.wdl:419	cpu from input default; memory from input default; gpu
deepvariant_make_examples	8	32G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/deepvariant/deepvariant.wdl:160	cpu from call site; cpu from input default; memory from call site; memory from input default; command uses threads; command uses mem
deepvariant_postprocess_variants	8	48G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/deepvariant/deepvariant.wdl:512	cpu from input default; memory from input default; command uses threads
filter_trgt_catalog	4	8G	-	-	-	singleton,upstream,downstream,cohort_merge	vendor/hifi-human-wgs-wdl/workflows/process_trgt_catalog/process_trgt_catalog.wdl:74	cpu from input default; memory from input default
glnexus	32	-	-	-	-	cohort_call,cohort_merge	workflows/overrides/glnexus.wdl:9	cpu from workflow input default; memory: "~{mem_gb} GiB" where mem_gb = glnexus_mem_gb = glnexus_mem = select_first([glnexus_mem_gb, 32 + ceil(n_samples * 0.1)]); memory scales with N; command uses threads; command uses mem
hiphase	16	96G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/hiphase.wdl:5	cpu from input default; memory from input default; command uses threads
index_input_bam	16	32G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/pbmm2/pbmm2.wdl:154	cpu from input default; memory from input default; command uses threads
kivvi_d4z4	2	8G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/kivvi.wdl:119	cpu from input default; memory from input default
kivvi_kiv2	2	8G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/kivvi.wdl:5	cpu from input default; memory from input default
methbat_pileup	8	16G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/methbat.wdl:5	cpu from input default; memory from input default; command uses threads
methbat_profile	2	4G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/methbat.wdl:182	cpu from input default; memory from input default
mitorsaw	4	32G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/mitorsaw.wdl:5	cpu from input default; memory from input default
mosdepth	4	8G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/mosdepth.wdl:5	cpu from input default; memory from input default; command uses threads
paraphase	8	16G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/paraphase.wdl:5	cpu from input default; memory from input default; command uses threads
pbjam_bam_stats	8	8G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/pbjam.wdl:5	cpu from input default; memory from input default; command uses threads
pbmm2_align_wgs	32	64G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/pbmm2/pbmm2.wdl:269	cpu from input default; memory from input default; command uses threads
pbsamoa_merge	32	32G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/pbsamoa.wdl:5	cpu from input default; memory from input default; command uses threads; command uses mem
pbstarphase_diplotype	2	8G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/pbstarphase.wdl:5	cpu from input default; memory from input default
run_parabricks_deepvariant	48	192G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/workflows/parabricks/parabricks_deepvariant.wdl:94	cpu from input default; memory from input default; command uses threads; gpu
samtools_fasta	16	16G	-	-	-	assembly	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/samtools.wdl:86	cpu from input default; memory from input default; command uses threads
samtools_merge	16	16G	-	-	-	assembly	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/samtools.wdl:5	cpu from input default; memory from input default; command uses threads
sawfish_call	16	32G	-	-	-	singleton,upstream,cohort_call	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/sawfish.wdl:139	cpu from input default; memory from input default; command uses threads
sawfish_discover	16	128G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/sawfish.wdl:5	cpu from input default; memory from input default; command uses threads
split_vcf_by_sample	2	4G	-	-	-	cohort_call	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/bcftools.wdl:224	cpu from input default; memory from input default; command uses threads
subset_bam	4	8G	-	-	-	singleton,upstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/samtools.wdl:255	cpu from input default; memory from input default; command uses threads
sv_stats	2	4G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/bcftools.wdl:415	cpu from input default; memory from input default
trgt_genotype	16	32G	-	-	-	singleton,downstream	vendor/hifi-human-wgs-wdl/workflows/wdl-common/wdl/tasks/trgt.wdl:5	cpu from input default; memory from input default; command uses threads; command uses mem
ugc_wgw_bcftools_concat	4	8G	-	-	-	cohort_call,cohort_merge,cohort_freq	workflows/ugc_wgw/cohort/concat.wdl:9	cpu from input default; memory from input default; command uses threads
ugc_wgw_bcftools_freq	2	4G	-	-	-	cohort_freq	workflows/ugc_wgw/cohort/freq.wdl:9	cpu from workflow input default; memory from workflow input default; command uses threads
ugc_wgw_bcftools_merge	4	-	-	-	-	cohort_merge	workflows/ugc_wgw/cohort/sv_merge_bcftools.wdl:9	cpu from input default; memory: "~{mem_gb} GiB" where mem_gb = bcftools_merge_mem = select_first([bcftools_merge_mem_gb, 8 + ceil(n_samples * 0.02)]); memory scales with N; command uses threads
ugc_wgw_bcftools_slice	2	4G	-	-	-	cohort_call,cohort_merge	workflows/ugc_wgw/cohort/gvcf_slice.wdl:9	cpu from input default; memory from input default; command uses threads
ugc_wgw_bcftools_split	4	-	-	-	-	cohort_call	workflows/ugc_wgw/cohort/split_by_sample.wdl:9	cpu from input default; memory: "~{mem_gb} GiB" where mem_gb = split_mem = select_first([split_mem_gb, 8 + ceil(n_samples * 0.02)]); memory scales with N
ugc_wgw_bcftools_zip_stats	4	4G	-	-	-	assembly	workflows/ugc_wgw/assembly/bcftools_zip_stats.wdl:9	cpu from input default; memory from input default; command uses threads
ugc_wgw_freq_summary	1	2G	-	-	-	cohort_freq	workflows/ugc_wgw/cohort/freq.wdl:179	
ugc_wgw_gfatools_gfa2fa	2	4G	-	-	-	assembly	workflows/ugc_wgw/assembly/gfatools.wdl:9	cpu from input default; memory from input default; command uses threads
ugc_wgw_hifiasm_assemble	48	288G	-	-	-	assembly	workflows/ugc_wgw/assembly/hifiasm.wdl:9	cpu from workflow input default; memory from workflow input default; command uses threads
ugc_wgw_manifest_write	1	1G	-	-	-	singleton,upstream,cohort_call,downstream,cohort_merge,cohort_freq,assembly	workflows/ugc_wgw/provenance.wdl:9	
ugc_wgw_minimap2_align_asm	16	128G	-	-	-	assembly	workflows/ugc_wgw/assembly/align_hifiasm.wdl:9	cpu from input default; memory from input default; command uses threads
ugc_wgw_paftools_call	4	32G	-	-	-	assembly	workflows/ugc_wgw/assembly/align_hifiasm.wdl:114	cpu from input default; memory from input default; command uses threads; command uses mem
ugc_wgw_regions_prepare	1	1G	-	-	-	cohort_call,cohort_merge,cohort_freq	workflows/ugc_wgw/cohort/regions.wdl:9	
ugc_wgw_svx_merge	8	-	-	-	-	cohort_merge	workflows/ugc_wgw/cohort/svx.wdl:9	cpu from workflow input default; memory: "~{mem_gb} GiB" where mem_gb = svx_mem = select_first([svx_mem_gb, 8 + ceil(n_samples * 0.05)]); memory scales with N; command uses threads
ugc_wgw_trgt_lps	8	16G	-	-	-	cohort_merge	workflows/ugc_wgw/cohort/trgt_merge_lps.wdl:122	cpu from workflow input default; memory from input default; command uses threads
