#shard	chrom	start	end
chr1	chr1	0	248956422
chr2	chr2	0	242193529
chr3	chr3	0	198295559
chr4	chr4	0	190214555
chr5	chr5	0	181538259
chr6	chr6	0	170805979
chr7	chr7	0	159345973
chr8	chr8	0	145138636
chr9	chr9	0	138394717
chr10	chr10	0	133797422
chr11	chr11	0	135086622
chr12	chr12	0	133275309
chr13	chr13	0	114364328
chr14	chr14	0	107043718
chr15	chr15	0	101991189
chr16	chr16	0	90338345
chr17	chr17	0	83257441
chr18	chr18	0	80373285
chr19	chr19	0	58617616
chr20	chr20	0	64444167
chr21	chr21	0	46709983
chr22	chr22	0	50818468
chrX	chrX	0	156040895
chrY	chrY	0	57227415
chrM	chrM	0	16569
rest	chr1_KI270706v1_random	0	175055
rest	chr1_KI270707v1_random	0	32032
rest	chr1_KI270708v1_random	0	127682
rest	chr1_KI270709v1_random	0	66860
rest	chr1_KI270710v1_random	0	40176
rest	chr1_KI270711v1_random	0	42210
rest	chr1_KI270712v1_random	0	176043
rest	chr1_KI270713v1_random	0	40745
rest	chr1_KI270714v1_random	0	41717
rest	chr2_KI270715v1_random	0	161471
rest	chr2_KI270716v1_random	0	153799
rest	chr3_GL000221v1_random	0	155397
rest	chr4_GL000008v2_random	0	209709
rest	chr5_GL000208v1_random	0	92689
rest	chr9_KI270717v1_random	0	40062
rest	chr9_KI270718v1_random	0	38054
rest	chr9_KI270719v1_random	0	176845
rest	chr9_KI270720v1_random	0	39050
rest	chr11_KI270721v1_random	0	100316
rest	chr14_GL000009v2_random	0	201709
rest	chr14_GL000225v1_random	0	211173
rest	chr14_KI270722v1_random	0	194050
rest	chr14_GL000194v1_random	0	191469
rest	chr14_KI270723v1_random	0	38115
rest	chr14_KI270724v1_random	0	39555
rest	chr14_KI270725v1_random	0	172810
rest	chr14_KI270726v1_random	0	43739
rest	chr15_KI270727v1_random	0	448248
rest	chr16_KI270728v1_random	0	1872759
rest	chr17_GL000205v2_random	0	185591
rest	chr17_KI270729v1_random	0	280839
rest	chr17_KI270730v1_random	0	112551
rest	chr22_KI270731v1_random	0	150754
rest	chr22_KI270732v1_random	0	41543
rest	chr22_KI270733v1_random	0	179772
rest	chr22_KI270734v1_random	0	165050
rest	chr22_KI270735v1_random	0	42811
rest	chr22_KI270736v1_random	0	181920
rest	chr22_KI270737v1_random	0	103838
rest	chr22_KI270738v1_random	0	99375
rest	chr22_KI270739v1_random	0	73985
rest	chrY_KI270740v1_random	0	37240
rest	chrUn_KI270302v1	0	2274
rest	chrUn_KI270304v1	0	2165
rest	chrUn_KI270303v1	0	1942
rest	chrUn_KI270305v1	0	1472
rest	chrUn_KI270322v1	0	21476
rest	chrUn_KI270320v1	0	4416
rest	chrUn_KI270310v1	0	1201
rest	chrUn_KI270316v1	0	1444
rest	chrUn_KI270315v1	0	2276
rest	chrUn_KI270312v1	0	998
rest	chrUn_KI270311v1	0	12399
rest	chrUn_KI270317v1	0	37690
rest	chrUn_KI270412v1	0	1179
rest	chrUn_KI270411v1	0	2646
rest	chrUn_KI270414v1	0	2489
rest	chrUn_KI270419v1	0	1029
rest	chrUn_KI270418v1	0	2145
rest	chrUn_KI270420v1	0	2321
rest	chrUn_KI270424v1	0	2140
rest	chrUn_KI270417v1	0	2043
rest	chrUn_KI270422v1	0	1445
rest	chrUn_KI270423v1	0	981
rest	chrUn_KI270425v1	0	1884
rest	chrUn_KI270429v1	0	1361
rest	chrUn_KI270442v1	0	392061
rest	chrUn_KI270466v1	0	1233
rest	chrUn_KI270465v1	0	1774
rest	chrUn_KI270467v1	0	3920
rest	chrUn_KI270435v1	0	92983
rest	chrUn_KI270438v1	0	112505
rest	chrUn_KI270468v1	0	4055
